Years,Paddy (Common) ,Paddy (Grade ‘A’),Wheat,Jowar1,Jowar2,Bajra,Ragi,Maize,Barley ,Gram ,Masur,Arhar ,Moong ,Urad ,Sugarcane,Cotton F-414/H-777 ,Cotton H-4 750 ,Groundnut ,Jute(TD-5) ,Rapeseed/ mustard ,Sunflower ,Soyabean (Black) ,Soyabean (Yellow) ,Safflower ,Toria ,Copra (milling) ,Copra balls ,Sesamum ,Niger seed 
1990-91,205,0,225,180,0,180,180,180,200,450,0,480,480,480,23,620,750,580,320,600,600,350,400,575,570,1600,0,0,0
1999-00,490,520,580,415,0,415,415,415,430,1015,0,1105,1105,1105,56.1,1575,1775,1155,750,1100,1155,755,845,1100,1065,3100,3325,1205,915
2002-03,550,580,630,490,0,495,490,490,505,1225,0,1325,1335,1335,69.5,1695,1895,1375,850,1340,1210,805,895,1305,1305,3300,3550,1455,1120
2004-05,560,590,640,515,0,515,515,525,540,1425,1525,1390,1410,1410,74.5,1760,1960,1500,890,1700,1340,900,1000,1550,1665,3500,3750,1500,1180
2005-06,570,600,650,525,0,525,525,540,550,1435,1535,1400,1520,1520,79.5,1760,1980,1520,910,1715,1500,900,1010,1565,1680,3570,3820,1550,1200
2006-07,580,610,750,540,555,540,540,540,565,1445,1545,1410,1520,1520,80.25,1770,1990,1520,1000,1715,1500,900,1020,1565,1680,3590,3840,1560,1220
2007-08,645,675,1000,600,620,600,600,620,650,1600,1700,1550,1700,1700,81.18,1800,2030,1550,1055,1800,1510,910,1050,1650,1735,3620,3870,1580,1240
2008-09,850,880,1080,840,860,840,915,840,680,1730,1870,2000,2520,2520,81.18,2500,3000,2100,1250,1830,2215,1350,1390,1650,1735,3660,3910,2750,2405
2009-10,950,980,1100,840,860,840,915,840,750,1760,1870,2300,2760,2520,129.84,2500,3000,2100,1375,1830,2215,1350,1390,1680,1735,4450,4700,2850,2405
2010-11,1000,1030,1120,880,900,880,965,880,780,2100,2250,3000,3170,2900,139.12,2500,3000,2300,1575,1850,2350,1400,1440,1800,1780,4450,4700,2900,2450
2011-12,1080,1110,1285,980,1000,980,1050,980,980,2800,2800,3200,3500,3300,145,2800,3300,2700,1675,2500,2800,1650,1690,2500,2425,4525,4775,3400,2900
2012-13,1250,1280,1350,1500,1520,1175,1500,1175,980,3000,2900,3850,4400,4300,170,3600,3900,3700,2200,3000,3700,2200,2240,2800,0,5100,5350,4200,3500
